,Nmales,Ntot,Nrel,,,,,
1993,250,446,0,,,,,
1994,,0,0,,,,,
1995,,0,0,,,,,
1996,,0,0,,,,,
1997,272,486,0,,,,,
1998,,0,0,,,,,
1999,,0,0,,,,,
2000,,0,0,,,,,
2001,,0,0,,,,,
2002,,0,0,,,,,
2003,89,159,0,,,,,
2004,74,132,0,,,,,
2005,72,129,0,,,,,
2006,71,127,0,,,,,
2007,67,120,0,,,,,
2008,61,109,0,,,,,
2009,57,102,0,,,,,
2010,53,95,0,,,,,
2011,54,96,0,,,,,
2012,34,61,0,,,,,
2013,19,34,0,,,,,
2014,20,36,0,,,,,
2015,10,18,0,,,,,
2016,14,25,0,,,,,
2017,15,27,0,,,,,
2018,20,36,0,,,,,
2019,16,29,0,,,,,
2020,6,11,0,,,,,
2021,7,13,0,,,,,
2022,3,5,0,,,,,
2023,1,2,48,,,,,
2024,3,5,48,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
