"mean","sd","lcl","25%","median","75%","ucl","Rhat","n.eff","overlap0","f","parm"
"loglam",3.54388856626785,0.0967977706000873,3.35713200171889,3.47837050229887,3.5427906371768,3.60910039334774,3.73001495282484,1.0102031231522,195,0,1,"loglam"
"lam.site[1]",0.210896648511485,0.107032271906589,0.00172606161610263,0.138360169154749,0.211446826279279,0.282602363781185,0.418702871720913,1.00331806121238,672,0,0.975333333333333,"lam.site[1]"
"lam.site[2]",0.154383786766372,0.105935446052794,-0.0549835939394478,0.083993051852578,0.153063630484244,0.226995732409551,0.360471541524157,1.00131412785456,1157,1,0.924666666666667,"lam.site[2]"
"lam.site[3]",-0.356255215293308,0.11911585826656,-0.583307131016594,-0.438263611064876,-0.35721718678285,-0.272481182621112,-0.1191081909081,1.00083722352704,2523,0,0.999333333333333,"lam.site[3]"
"lam.site[4]",0.232617063346078,0.103351257514741,0.0312790098056607,0.164252927703539,0.231987056807557,0.301734449387923,0.434581646846867,1.00263102803154,760,0,0.987666666666667,"lam.site[4]"
"lam.site[5]",-0.0187377724719749,0.109633908589981,-0.23851739434964,-0.0923418152357094,-0.0148021441497022,0.0533703188151564,0.19007441858494,1.003366749353,535,1,0.559666666666667,"lam.site[5]"
"lam.site[6]",-0.549459977146837,0.120189519871837,-0.793098454078472,-0.627290448841047,-0.545993212364498,-0.46657802696862,-0.318203855690565,1.00262331302486,653,0,1,"lam.site[6]"
"lam.site[7]",-0.738105275530977,0.128268775054394,-1.00190567217891,-0.819430006430739,-0.736011247161119,-0.650669695802905,-0.487727901710484,1.00376347941553,603,0,1,"lam.site[7]"
"lam.site[8]",0.0706081493583695,0.110070268807488,-0.149758972243815,-0.00181040067291675,0.0683897430390238,0.145818865072367,0.285669600306723,1.00132433660031,1154,1,0.743333333333333,"lam.site[8]"
"lam.site[9]",-0.233276962741435,0.113898845074046,-0.455539336950445,-0.309453237222142,-0.232029690620576,-0.15517775457917,-0.0133065863435927,1.00084322151903,1861,0,0.980666666666667,"lam.site[9]"
"lam.site[10]",0.330123838914301,0.106558959955338,0.11484834319631,0.260461644050744,0.330706324692676,0.398804761801464,0.539406897278804,1.0047855992059,419,0,0.998333333333333,"lam.site[10]"
"lam.site[11]",-0.530169116327206,0.121775382170904,-0.767684208499289,-0.610864200805229,-0.529874546919018,-0.44737729011066,-0.302191843071032,1.0011733158044,1216,0,1,"lam.site[11]"
"lam.site[12]",0.129513728732595,0.107614863369464,-0.0792854314812745,0.0572867780922529,0.127377139884092,0.200556350775114,0.337900213651008,1.00262363461077,763,1,0.888333333333333,"lam.site[12]"
"lam.site[13]",-0.281402870100284,0.114806914443558,-0.505551574954394,-0.357754968301038,-0.282689688513349,-0.204205576567405,-0.0559139283784077,1.00288379382395,606,0,0.992666666666667,"lam.site[13]"
"lam.site[14]",0.776132176940002,0.0987272050932459,0.580014894607103,0.710560899124661,0.77797071036294,0.843348325549169,0.97087349813286,1.00496737833971,391,0,1,"lam.site[14]"
"lam.site[15]",-0.584269310160468,0.123515113190072,-0.825408843004554,-0.667286124299311,-0.581939676660068,-0.502483725875645,-0.342016679947873,1.00119557528,1307,0,1,"lam.site[15]"
"lam.site[16]",0.205774605345832,0.105537321196778,0.00253645993201141,0.134229432061546,0.205703890369829,0.276730526882775,0.417133690402989,1.00242523992857,931,0,0.977,"lam.site[16]"
"lam.site[17]",-1.03725638181469,0.133738908115993,-1.30442040107357,-1.12633661846195,-1.03644120734413,-0.947102107503019,-0.781280719228864,1.00197320067924,819,0,1,"lam.site[17]"
"lam.site[18]",0.0477763969548907,0.110508886799752,-0.169961029203962,-0.0270467065784035,0.050964243384436,0.122750037995889,0.262788901949325,1.00084136112966,1606,1,0.670333333333333,"lam.site[18]"
"lam.site[19]",-0.805913566753199,0.128839483334702,-1.06555995863835,-0.892689950076745,-0.805737358652924,-0.716429145127803,-0.550159187863358,1.00111038645545,3000,0,1,"lam.site[19]"
"lam.site[20]",0.379483587909838,0.101677070348203,0.176183478542938,0.310448898562814,0.379879980284348,0.449418420476718,0.57244387831469,1.00224816283309,802,0,0.999333333333333,"lam.site[20]"
"lam.site[21]",-1.39827117542285,0.148844987684357,-1.69120193972778,-1.50027028390819,-1.3954638328945,-1.2950796752969,-1.1069286306954,1.00054153459862,2630,0,1,"lam.site[21]"
"lam.site[22]",0.752589372361034,0.0982377627163892,0.562119268793792,0.688449183339818,0.752515114507067,0.818829320906726,0.945660788051076,1.00326786039086,592,0,1,"lam.site[22]"
"lam.site[23]",0.0961734892807106,0.108332254907111,-0.117081087502606,0.0216529002420888,0.0960756506934394,0.171201312026193,0.305763733258559,1.00216671682809,757,1,0.808,"lam.site[23]"
"lam.site[24]",0.646752126963685,0.0997039498369776,0.448711756473414,0.579410439510558,0.649260390186467,0.712198792080701,0.843169556267611,1.00122073545126,1311,0,1,"lam.site[24]"
"lam.site[25]",0.528283328718601,0.10256686694234,0.329372584173784,0.459336235887188,0.527414825933995,0.59842089984771,0.728535118058561,1.00459029867168,423,0,1,"lam.site[25]"
"lam.site[26]",-0.0928536008327419,0.111550525685685,-0.309073562982432,-0.168594270927382,-0.0930166326894604,-0.0192222412728776,0.12798076853288,1.00116119627906,1322,1,0.795,"lam.site[26]"
"lam.site[27]",-0.356789873173159,0.118277432882731,-0.596687926369392,-0.437525983525537,-0.353589172126741,-0.27508039877672,-0.129192191169575,1.00149105412336,1291,0,0.999333333333333,"lam.site[27]"
"lam.site[28]",0.225703803945669,0.106283409249068,0.0103712844049667,0.155951204008185,0.22574059816667,0.295853875854538,0.433161887930736,1.00307124157344,629,0,0.981,"lam.site[28]"
"lam.site[29]",0.733472032950661,0.0994858975544824,0.54309944467146,0.665310946055829,0.734500918990124,0.796495744660615,0.940721968048572,1.00237512464108,750,0,1,"lam.site[29]"
"lam.site[30]",-0.00917578902971032,0.108914787064864,-0.223874398037491,-0.0814999095603882,-0.0110552125499143,0.0622611016055658,0.202565393756245,1.00444467347616,555,1,0.538333333333333,"lam.site[30]"
"lam.site[31]",-1.11686599014365,0.139494719394311,-1.39833988552871,-1.21011161550332,-1.11423998079732,-1.01809627930354,-0.851282713674755,1.00090260028765,1534,0,1,"lam.site[31]"
"lam.site[32]",-0.437692478076961,0.119312708860521,-0.669824741223838,-0.51830114671778,-0.437252923469909,-0.357394060155519,-0.21062394771009,1.0015610586626,1110,0,1,"lam.site[32]"
"lam.site[33]",-0.430688498109814,0.120366849976219,-0.673735431012967,-0.510687724196685,-0.428326356530532,-0.349215729518893,-0.199455361934315,1.00163368075177,1288,0,1,"lam.site[33]"
"lam.site[34]",0.838710493502988,0.0985631469669783,0.651362417247647,0.772050961134524,0.840772291331564,0.901882375915898,1.03510919692981,1.00301865411345,731,0,1,"lam.site[34]"
"lam.site[35]",0.416094855745014,0.102966824755345,0.212024343840989,0.346050199125537,0.415570607459145,0.482431252191836,0.622574533785647,1.00150736967197,1626,0,1,"lam.site[35]"
"lam.site[36]",-1.0522479159341,0.139230587549233,-1.33915818802435,-1.1418116725496,-1.05363668435796,-0.958780029618207,-0.778823183711816,1.00343803403319,524,0,1,"lam.site[36]"
"lam.site[37]",0.616747798816306,0.101925289119084,0.415867241827886,0.548039501287234,0.616125714084022,0.684645835720582,0.819664914265144,1.00156280699244,975,0,1,"lam.site[37]"
"lam.site[38]",0.217057625871267,0.104065933651823,0.00911022384543367,0.148715481467239,0.216198149540593,0.286834679878165,0.415168195691729,1.00274486373915,677,0,0.978,"lam.site[38]"
"lam.site[39]",-0.0560787443355409,0.109550149430541,-0.273805426709234,-0.130250772361756,-0.0552967569142262,0.0163383797580223,0.157103387688912,1.00113351162001,1504,1,0.690333333333333,"lam.site[39]"
"lam.site[40]",0.851225850811057,0.0993911453340019,0.658268180614588,0.784823787982048,0.850158512234937,0.918522752000082,1.0455919411692,1.00115673441477,1341,0,1,"lam.site[40]"
"lam.site[41]",-0.273791109054262,0.114926557495616,-0.496642598467014,-0.348671991842786,-0.273225661521097,-0.198512085836401,-0.0512377963772737,1.00266302382905,703,0,0.989,"lam.site[41]"
"lam.site[42]",-0.560738711644774,0.122982326242726,-0.802506202557973,-0.640563078462075,-0.559279106631474,-0.476601945093742,-0.328706056834697,1.00208328787831,816,0,1,"lam.site[42]"
"lam.site[43]",0.812362205038365,0.0981721363109011,0.61900637852776,0.744704367962709,0.81372143118231,0.879438512526953,1.00281074714942,1.00316469801997,607,0,1,"lam.site[43]"
"lam.site[44]",0.225431242254081,0.10101161427215,0.031056291592811,0.157454782387666,0.22714258436172,0.29465456075262,0.424368498871117,1.0015108005563,1284,0,0.988666666666667,"lam.site[44]"
"lam.site[45]",0.835443738531175,0.0978053468434645,0.638901706996192,0.769153282856097,0.835589584605465,0.901803418561596,1.02160245348688,1.00440304118596,630,0,1,"lam.site[45]"
"lam.site[46]",0.313840657909795,0.103248914633243,0.111943750113997,0.244962725093885,0.314333000687513,0.384648128101257,0.508122206566238,1.00187051768809,1179,0,0.998,"lam.site[46]"
"lam.site[47]",0.023309322793837,0.108323932768982,-0.191347855261462,-0.0482310599714805,0.0225301473606607,0.0974976938015693,0.234784073699397,1.00063919467742,2036,1,0.581666666666667,"lam.site[47]"
"lam.site[48]",0.16853316141178,0.104400303589374,-0.0341360802765342,0.0965100592799581,0.168295387051062,0.240636107565923,0.369636574579643,1.00248834900087,738,1,0.949,"lam.site[48]"
"lam.site[49]",0.0726007111311783,0.108144978057273,-0.137050145610382,-0.000846040346957146,0.0721485668482767,0.145204327375694,0.285097503845237,1.00080484050136,1737,1,0.749,"lam.site[49]"
"lam.site[50]",0.260725519549149,0.103385572422849,0.0563618540152769,0.189655799249361,0.26236078153546,0.32771625803109,0.459984525010343,1.00386485927084,487,0,0.994,"lam.site[50]"
"totalN[1]",1848.18766666667,105.413321916008,1655.975,1777,1842,1917,2066.025,1.00570681117405,332,0,1,"totalN[1]"
"totalN[2]",1709.15633333333,92.5009299082998,1537.975,1647,1705,1769.25,1901.025,1.00808484150218,240,0,1,"totalN[2]"
"totalN[3]",1637.594,76.5996148663026,1499,1585,1634,1688,1799,1.005657701872,335,0,1,"totalN[3]"
"totalN[4]",1571.25733333333,61.337198040912,1458.975,1529,1568,1610,1700,1.00522483225715,381,0,1,"totalN[4]"
"totalN[5]",1558.195,38.1755082674371,1492,1531,1556,1582,1641,1.00682092538595,290,0,1,"totalN[5]"
"totalN[6]",1313.11466666667,44.889930795794,1233,1281,1311,1342,1411,1.00367657404703,573,0,1,"totalN[6]"
"totalN[7]",1185.02833333333,40.4736816156301,1110.975,1157,1183,1210,1271,1.0022708636103,754,0,1,"totalN[7]"
"totalN[8]",1104.966,38.6504005389415,1033,1079,1104,1130,1183,1.00221437790629,801,0,1,"totalN[8]"
"totalN[9]",1062.49666666667,23.78985725034,1020,1046,1061,1078,1112,1.0010966961864,1615,0,1,"totalN[9]"
"totalN[10]",926.354,42.2358296446109,845,898,925,954,1014,1.00228409894442,1004,0,1,"totalN[10]"
"totalN[11]",1015.03233333333,21.2113946337731,977,1000,1014,1029,1060,1.00237338038826,900,0,1,"totalN[11]"
"totalN[12]",833.467666666667,30.4534742285083,780,812,831,852,897.025,1.00051540509391,2086,0,1,"totalN[12]"
