"mean","sd","lcl","25%","median","75%","ucl","Rhat","n.eff","overlap0","f","parm"
"Ntot[1,1]",161.329298008982,15.1771703971337,132.961355745723,150.922838725935,160.822642441919,171.308096803444,192.421731077296,1.00009712159715,40000,0,1,"Ntot[1,1]"
"Ntot[2,1]",161.329298008982,15.1771703971337,132.961355745723,150.922838725935,160.822642441919,171.308096803444,192.421731077296,1.00009712159715,40000,0,1,"Ntot[2,1]"
"Ntot[3,1]",161.329298008982,15.1771703971337,132.961355745723,150.922838725935,160.822642441919,171.308096803444,192.421731077296,1.00009712159715,40000,0,1,"Ntot[3,1]"
"Ntot[4,1]",161.329298008982,15.1771703971337,132.961355745723,150.922838725935,160.822642441919,171.308096803444,192.421731077296,1.00009712159715,40000,0,1,"Ntot[4,1]"
"Ntot[5,1]",161.329298008982,15.1771703971337,132.961355745723,150.922838725935,160.822642441919,171.308096803444,192.421731077296,1.00009712159715,40000,0,1,"Ntot[5,1]"
"Ntot[6,1]",161.329298008982,15.1771703971337,132.961355745723,150.922838725935,160.822642441919,171.308096803444,192.421731077296,1.00009712159715,40000,0,1,"Ntot[6,1]"
"Ntot[7,1]",161.329298008982,15.1771703971337,132.961355745723,150.922838725935,160.822642441919,171.308096803444,192.421731077296,1.00009712159715,40000,0,1,"Ntot[7,1]"
"Ntot[8,1]",161.329298008982,15.1771703971337,132.961355745723,150.922838725935,160.822642441919,171.308096803444,192.421731077296,1.00009712159715,40000,0,1,"Ntot[8,1]"
"Ntot[1,2]",138.067125,12.921568922076,113,129,138,147,164,1.00000903530848,40000,0,1,"Ntot[1,2]"
"Ntot[2,2]",138.067125,12.921568922076,113,129,138,147,164,1.00000903530848,40000,0,1,"Ntot[2,2]"
"Ntot[3,2]",138.067125,12.921568922076,113,129,138,147,164,1.00000903530848,40000,0,1,"Ntot[3,2]"
"Ntot[4,2]",138.067125,12.921568922076,113,129,138,147,164,1.00000903530848,40000,0,1,"Ntot[4,2]"
"Ntot[5,2]",138.067125,12.921568922076,113,129,138,147,164,1.00000903530848,40000,0,1,"Ntot[5,2]"
"Ntot[6,2]",138.067125,12.921568922076,113,129,138,147,164,1.00000903530848,40000,0,1,"Ntot[6,2]"
"Ntot[7,2]",138.067125,12.921568922076,113,129,138,147,164,1.00000903530848,40000,0,1,"Ntot[7,2]"
"Ntot[8,2]",138.067125,12.921568922076,113,129,138,147,164,1.00000903530848,40000,0,1,"Ntot[8,2]"
"Ntot[1,3]",130.3117,12.0986797858822,107,122,130,138,155,1.00031199546481,7180,0,1,"Ntot[1,3]"
"Ntot[2,3]",130.3117,12.0986797858822,107,122,130,138,155,1.00031199546481,7180,0,1,"Ntot[2,3]"
"Ntot[3,3]",130.3117,12.0986797858822,107,122,130,138,155,1.00031199546481,7180,0,1,"Ntot[3,3]"
"Ntot[4,3]",130.3117,12.0986797858822,107,122,130,138,155,1.00031199546481,7180,0,1,"Ntot[4,3]"
"Ntot[5,3]",130.3117,12.0986797858822,107,122,130,138,155,1.00031199546481,7180,0,1,"Ntot[5,3]"
"Ntot[6,3]",130.3117,12.0986797858822,107,122,130,138,155,1.00031199546481,7180,0,1,"Ntot[6,3]"
"Ntot[7,3]",130.3117,12.0986797858822,107,122,130,138,155,1.00031199546481,7180,0,1,"Ntot[7,3]"
"Ntot[8,3]",130.3117,12.0986797858822,107,122,130,138,155,1.00031199546481,7180,0,1,"Ntot[8,3]"
"Ntot[1,4]",125.5924,11.8771772287641,103,118,125,133,150,1.00010023782834,17923,0,1,"Ntot[1,4]"
"Ntot[2,4]",125.5924,11.8771772287641,103,118,125,133,150,1.00010023782834,17923,0,1,"Ntot[2,4]"
"Ntot[3,4]",125.5924,11.8771772287641,103,118,125,133,150,1.00010023782834,17923,0,1,"Ntot[3,4]"
"Ntot[4,4]",125.5924,11.8771772287641,103,118,125,133,150,1.00010023782834,17923,0,1,"Ntot[4,4]"
"Ntot[5,4]",125.5924,11.8771772287641,103,118,125,133,150,1.00010023782834,17923,0,1,"Ntot[5,4]"
