"mean","sd","lcl","25%","median","75%","ucl","Rhat","n.eff","overlap0","f","parm"
"Ntot[1]",159.762824515772,14.5267338252818,132.771151034366,149.863041815868,159.229608909906,169.270734020487,189.798456506124,1.00006371454717,22678,0,1,"Ntot[1]"
"Ntot[2]",138.884925,12.2110138999956,115,131,139,147,163,1.00008178818894,19193,0,1,"Ntot[2]"
"Ntot[3]",130.362175,11.200707150238,109,123,130,138,153,1.00020882709864,10451,0,1,"Ntot[3]"
"Ntot[4]",124.6655,10.8229265055,104,117,124,132,147,1.00003144478924,33931,0,1,"Ntot[4]"
"Ntot[5]",117.501825,10.5304970895774,98,110,117,124,140,1.00008960292629,21475,0,1,"Ntot[5]"
"Ntot[6]",108.4826,10.0359038070385,90,102,108,115,130,1.00011713214455,30082,0,1,"Ntot[6]"
"Ntot[7]",100.422175,9.66103393321809,83,94,100,106,121,1.0001868496734,24695,0,1,"Ntot[7]"
"Ntot[8]",92.14315,9.37832377887555,75,86,92,98,112,1.00006331255638,33881,0,1,"Ntot[8]"
"Ntot[9]",83.081675,9.6279474255246,67,76,82,89,104,1.0002042756725,12299,0,1,"Ntot[9]"
"Ntot[10]",60.064975,7.28505868551354,47,55,60,65,75,1.00007530030185,40000,0,1,"Ntot[10]"
"Ntot[11]",41.97155,6.12675925975353,30,38,42,46,54,1.00005979698317,25579,0,1,"Ntot[11]"
"Ntot[12]",34.648875,5.22000646034669,25,31,34,38,45,1.00002644870158,40000,0,1,"Ntot[12]"
"Ntot[13]",27.11395,4.64603648703666,18,24,27,30,37,1.0001418635723,14496,0,1,"Ntot[13]"
"Ntot[14]",26.532075,4.23702371997433,19,24,26,29,35,1.00017456494398,13570,0,1,"Ntot[14]"
"Ntot[15]",26.8596,4.17836383146653,19,24,27,29,36,1.00021821777276,10861,0,1,"Ntot[15]"
"Ntot[16]",27.3537,4.46235298075501,20,24,27,30,37,1.00069151414402,4461,0,1,"Ntot[16]"
"Ntot[17]",22.747325,4.10743254593767,16,20,22,25,32,1.00034112726388,7995,0,1,"Ntot[17]"
"Ntot[18]",14.788775,3.25407801457926,9,13,15,17,22,1.00009147113832,22710,0,1,"Ntot[18]"
"Ntot[19]",11.16635,2.73743767355997,7,9,11,13,17,1.00003263230513,40000,0,1,"Ntot[19]"
"Ntot[20]",7.262875,2.301337467263,3,6,7,9,12,1.00001419299334,40000,0,1,"Ntot[20]"
"Ntot[21]",5.132775,2.04075964211196,2,4,5,6,9,1.0000008360874,40000,0,1,"Ntot[21]"
"Ntot[22]",4.765225,2.19004009238762,1,3,5,6,9,0.999964539108627,40000,0,1,"Ntot[22]"
"Ntot[23]",19.1942,5.22866807459088,10,16,19,22,30,0.999993304452687,40000,0,1,"Ntot[23]"
"Ntot[24]",32.00945,8.63208396155517,17,26,31,37,51,1.00003248851653,40000,0,1,"Ntot[24]"
"Ntot[25]",43.53035,12.2012929915754,23,35,42,50,71,1.0000838849847,24930,0,1,"Ntot[25]"
"Ntot[26]",53.841425,15.9173133094423,28,43,52,62,90,1.00008827500194,18209,0,1,"Ntot[26]"
"Ntot[27]",63.301125,19.8011502411639,32,50,61,73,109,1.00012713588662,35798,0,1,"Ntot[27]"
"Ntot[28]",71.719925,23.534154529218,35,56,69,83,126,1.00011688393483,21084,0,1,"Ntot[28]"
"Ntot[29]",79.541325,27.6954232348249,38,62,76,92,144,1.00008952237943,27604,0,1,"Ntot[29]"
"Ntot[30]",86.58295,31.6058324129197,41,67,82,100,161,1.00018662598172,40000,0,1,"Ntot[30]"
"Ntot[31]",93.0817,35.9030360945982,43,71,87,108,178,1.00008383685216,40000,0,1,"Ntot[31]"
"Ntot[32]",98.866375,40.1087682083551,45,75,92,114,193.025000000001,1.00041754089932,26230,0,1,"Ntot[32]"
