"mean","sd","lcl","25%","median","75%","ucl","Rhat","n.eff","overlap0","f","parm"
"Ntot[1]",159.937970810681,15.0702667075569,131.948127078272,149.544663030959,159.438812501761,169.765709817031,190.932258435514,1.00004092354227,39078,0,1,"Ntot[1]"
"Ntot[2]",137.312625,12.7735143823506,113,129,137,146,163,1.00003825556324,31023,0,1,"Ntot[2]"
"Ntot[3]",129.85875,12.040960221493,107,122,130,138,154,1.00000477960883,40000,0,1,"Ntot[3]"
"Ntot[4]",125.1647,11.6603761954461,103,117,125,133,149,0.999978515324967,40000,0,1,"Ntot[4]"
"Ntot[5]",117.89095,11.3596427819982,97,110,117,125,142,1.00001678936113,40000,0,1,"Ntot[5]"
"Ntot[6]",108.686625,10.741455002967,89,101,108,115,131,1.00000736949622,40000,0,1,"Ntot[6]"
"Ntot[7]",100.93995,10.2843005677807,82,94,100,107,123,1.00009711733651,20287,0,1,"Ntot[7]"
"Ntot[8]",92.87225,9.85945283257413,75,86,92,99,114,1.00030077549191,8609,0,1,"Ntot[8]"
"Ntot[9]",84.6567,9.90853417949596,67,78,84,91,106,1.00021665103268,14730,0,1,"Ntot[9]"
"Ntot[10]",60.138825,7.60287430593311,46,55,60,65,76,1.00006431456364,28840,0,1,"Ntot[10]"
"Ntot[11]",41.27145,6.31317759157641,29,37,41,45,54,1.00010278561046,26890,0,1,"Ntot[11]"
"Ntot[12]",34.217,5.37087815522787,24,30,34,38,45,1.00009630434201,40000,0,1,"Ntot[12]"
"Ntot[13]",26.2878,4.78949315075364,17,23,26,29,36,1.00008153621058,26781,0,1,"Ntot[13]"
"Ntot[14]",26.187175,4.44608644894505,18,23,26,29,36,0.999975100114593,40000,0,1,"Ntot[14]"
"Ntot[15]",26.970675,4.5119756196676,19,24,27,30,37,1.00002297701383,40000,0,1,"Ntot[15]"
"Ntot[16]",28.075725,4.86881231489867,20,25,28,31,39,1.00002598502477,38369,0,1,"Ntot[16]"
"Ntot[17]",23.03745,4.28492199595428,16,20,23,26,32,1.00005564718659,40000,0,1,"Ntot[17]"
"Ntot[18]",14.725525,3.30530809470388,9,12,15,17,22,1.00005836341265,26612,0,1,"Ntot[18]"
"Ntot[19]",11.1291,2.75833707160402,7,9,11,13,17,1.0000479949027,40000,0,1,"Ntot[19]"
"Ntot[20]",7.15225,2.30617711783429,3,6,7,9,12,1.0000469990403,37015,0,1,"Ntot[20]"
"Ntot[21]",5.0249,2.03929741782531,2,4,5,6,9,1.00008833475468,40000,0,1,"Ntot[21]"
