"mean","sd","lcl","25%","median","75%","ucl","Rhat","n.eff","overlap0","f","parm"
"mean.p[1]",0.747135868163854,0.124245545032694,0.486227176322811,0.662987096748066,0.756429637397091,0.841892315642144,0.955007991166841,1.00000315788397,40000,0,1,"mean.p[1]"
"mean.p[2]",0.220732609300075,0.0966317346361841,0.077825515694211,0.150810504634781,0.206104989014966,0.274125925235763,0.448124158382493,1.00014999534686,33607,0,1,"mean.p[2]"
"mphi",0.367196661963935,0.0145004316886497,0.339567473369145,0.357256812927278,0.367009743586336,0.376838385392947,0.396210433149314,1.00007975798576,25569,0,1,"mphi"
"mfec1",3.17803883361224,0.156714603611517,2.8729928340629,3.0728717369618,3.17716207341997,3.28360430972132,3.48548927771845,0.999989997684414,40000,0,1,"mfec1"
"mfec2",2.74915075281414,0.200544149906909,2.35598612631141,2.61358226578927,2.75004726731903,2.88660614702359,3.13714925217664,1.00013765898039,15834,0,1,"mfec2"
"mean.lambda",0.833612137596587,0.0932618547860417,0.784015112316203,0.831602196667264,0.845674584156691,0.856266455436599,0.874109969301576,1.00088965745737,40000,0,1,"mean.lambda"
"prop.males",0.559251394820847,0.00989333502128936,0.540026251868239,0.55262197575434,0.559154949103412,0.565855254649627,0.578871668585506,1.00012621171343,17928,0,1,"prop.males"
"db[1,1]",0,0,0,0,0,0,0,NA,1,1,1,"db[1,1]"
"db[2,1]",0,0,0,0,0,0,0,NA,1,1,1,"db[2,1]"
"db[3,1]",0,0,0,0,0,0,0,NA,1,1,1,"db[3,1]"
"db[4,1]",0.249994484662555,0.0698398848128155,0.112197313717038,0.203073489172196,0.250012449667101,0.296820957011529,0.387247299664119,1.0000029794615,40000,0,1,"db[4,1]"
"db[5,1]",0.250350024543159,0.0699065856646493,0.11329641282053,0.20339977626595,0.250356617510743,0.297536536995993,0.386840135321122,1.0000961984412,17518,0,1,"db[5,1]"
"db[6,1]",0.250216662240993,0.0697235195067157,0.114886366828636,0.20257371631119,0.250315525935796,0.297308539187067,0.386958690936129,1.00000877616858,40000,0,1,"db[6,1]"
"db[7,1]",0.249665890501024,0.070045669048301,0.112787253815057,0.202491941191686,0.249279249848289,0.296790058146113,0.387095072700483,1.00001380079305,40000,0,1,"db[7,1]"
"db[8,1]",0.250044910965551,0.0700147098913457,0.112218238174277,0.203006507340733,0.250090197431721,0.297311615363381,0.387753946291874,0.999991973083213,40000,0,1,"db[8,1]"
"db[9,1]",0.249872035928557,0.0699741615819673,0.114058113774494,0.202373994730952,0.249745780512357,0.296900708268834,0.387579239065628,1.00000747015745,40000,0,1,"db[9,1]"
"db[10,1]",0.249985054069747,0.070241893723114,0.112894147834948,0.20249344088721,0.249685262800671,0.297607636577949,0.388088652078298,0.999965352181648,40000,0,1,"db[10,1]"
"db[11,1]",0.24973278768634,0.069761235753398,0.113150768824607,0.202228112219348,0.250040959315912,0.297445132525004,0.386291700686561,1.00001255418043,40000,0,1,"db[11,1]"
"db[12,1]",0.249944248230111,0.0701612409128175,0.112498801494371,0.202996121840604,0.249985327824306,0.297144571248321,0.387992113663331,1.00001180649195,40000,0,1,"db[12,1]"
"db[13,1]",0.250006601740846,0.0702386030288731,0.111661033621644,0.202636834143227,0.250732944361381,0.297658220857495,0.387143111776167,1.00000215911134,40000,0,1,"db[13,1]"
"db[14,1]",0.249443739806903,0.0698914461008735,0.113085462819183,0.202034561954391,0.249327393235775,0.29649446445707,0.386330506507068,1.00000743251922,40000,0,1,"db[14,1]"
"db[15,1]",0.250100546768649,0.0702621672509501,0.11218975031405,0.202300159074977,0.250193931865962,0.297772565385189,0.388374071624048,0.999988438443438,40000,0,1,"db[15,1]"
"db[16,1]",0.249764931428186,0.0699681973019603,0.112405801458766,0.202326326019226,0.249831992410162,0.297168643722405,0.386366139187928,1.00005623384902,29961,0,1,"db[16,1]"
"db[17,1]",0.250015817595219,0.0699423427210527,0.112862734641145,0.202982415584667,0.249900194859805,0.297150968666424,0.388371681151791,0.999989374714161,40000,0,1,"db[17,1]"
"db[18,1]",0.249618316398696,0.0699220585519929,0.113454332055144,0.20272585225101,0.249232922546957,0.296558582786566,0.387405977347012,1.00000756114117,40000,0,1,"db[18,1]"
"db[19,1]",0.249727795552279,0.0699472154427178,0.112526412645551,0.202471186901118,0.249562827875425,0.296962661653161,0.387178720379487,0.999994005723624,40000,0,1,"db[19,1]"
"db[20,1]",0,0,0,0,0,0,0,NA,1,1,1,"db[20,1]"
"db[21,1]",0,0,0,0,0,0,0,NA,1,1,1,"db[21,1]"
"db[22,1]",0,0,0,0,0,0,0,NA,1,1,1,"db[22,1]"
"db[23,1]",0,0,0,0,0,0,0,NA,1,1,1,"db[23,1]"
"db[24,1]",0.250471950189898,0.0700037505517453,0.113223968450271,0.203106850614429,0.250937304466991,0.297769395078409,0.387471145450725,1.00002859516843,40000,0,1,"db[24,1]"
"db[25,1]",0.250020748536526,0.0696965749804965,0.113124155645371,0.203209932688208,0.250422408997782,0.296997002707493,0.386577453995858,1.00002088548598,35989,0,1,"db[25,1]"
"db[26,1]",0.250164098553279,0.0697773865174929,0.113775887593572,0.20303616723341,0.250075096061358,0.297183826060675,0.388298387199993,1.00004519473917,40000,0,1,"db[26,1]"
"db[27,1]",0.249354059043367,0.0699807578399589,0.111415797011675,0.202521668009594,0.24913799156913,0.296690176051004,0.387404382294917,1.00002840376366,40000,0,1,"db[27,1]"
"db[28,1]",0.250223807610738,0.0699296655004497,0.112235798502081,0.203187390621685,0.249789089242666,0.297806009480681,0.387171373140008,1.00004981405424,40000,0,1,"db[28,1]"
"db[29,1]",0.250521748719724,0.069582257992598,0.11379753825071,0.203781785909489,0.250018696272742,0.297382980180467,0.387017186930342,1.00001234690849,40000,0,1,"db[29,1]"
"db[30,1]",0.249845582247878,0.0695815686497336,0.112692891275327,0.203184502021856,0.249580041584525,0.296489350872337,0.38662518969986,0.999978773009558,40000,0,1,"db[30,1]"
"db[31,1]",0.250243421609129,0.0699155656958849,0.113409516953432,0.203444543470713,0.250267276585235,0.297200787278496,0.387698378996015,1.00006162244699,29420,0,1,"db[31,1]"
"db[32,1]",0.249686899813136,0.0698402610308515,0.11371654446738,0.202172622076634,0.249438765608187,0.296803195005112,0.386981155119006,1.00003783136109,35551,0,1,"db[32,1]"
"db[33,1]",0.250152672264812,0.0699605728150281,0.112422128404185,0.202795619066515,0.250234874516679,0.297429145623551,0.386321390571869,1.00014577874365,13357,0,1,"db[33,1]"
"db[34,1]",0.249291399822158,0.0700437794043357,0.11255929489426,0.201798323609324,0.248941165691726,0.296514188392065,0.386969609522448,1.00002124164915,38002,0,1,"db[34,1]"
"db[35,1]",0.249979170531635,0.069786634779593,0.112322750998582,0.203476177648897,0.249669601215054,0.296602811198502,0.387671586938532,1.00008860390132,32572,0,1,"db[35,1]"
"db[36,1]",0.250037740127071,0.069725663816179,0.113943937713673,0.202932293144338,0.250036507970001,0.296945012158199,0.387361361770434,0.999958569582553,40000,0,1,"db[36,1]"
"db[37,1]",0.249548516879488,0.0699898926186912,0.112028360516346,0.201858299509921,0.249682953189312,0.296947660938838,0.387354337689784,1.00001363869687,40000,0,1,"db[37,1]"
"db[38,1]",0.249776701126445,0.0700011960982913,0.112624859289674,0.20269708539714,0.249417955660973,0.296891915397278,0.387355611999987,1.00001253273179,40000,0,1,"db[38,1]"
"db[39,1]",0.250318159462176,0.0699923153417517,0.113160832601456,0.202545288754852,0.250435569782273,0.297931171279081,0.386344269376642,1.00002620486047,40000,0,1,"db[39,1]"
"db[40,1]",0,0,0,0,0,0,0,NA,1,1,1,"db[40,1]"
"db[1,2]",0,0,0,0,0,0,0,NA,1,1,1,"db[1,2]"
"db[2,2]",0,0,0,0,0,0,0,NA,1,1,1,"db[2,2]"
"db[3,2]",0,0,0,0,0,0,0,NA,1,1,1,"db[3,2]"
"db[4,2]",0.250725803074585,0.0698955922037656,0.113534869556325,0.203758641612411,0.250653297931037,0.298216166183616,0.388098359024134,1.00005931012483,25286,0,1,"db[4,2]"
"db[5,2]",0.250907588944709,0.0700683822392056,0.112075184097396,0.20394342243016,0.250926158359454,0.29890958289757,0.388344543833706,1.00002729586678,40000,0,1,"db[5,2]"
"db[6,2]",0.249969232928373,0.0700488357577637,0.112412348944,0.202611572847038,0.25001196449994,0.297111152347889,0.386499715926233,1.00005297344594,29439,0,1,"db[6,2]"
"db[7,2]",0.249395223134246,0.0699093133860355,0.112992314963981,0.202338581603459,0.248929932971386,0.296184122780372,0.386201306762343,1.00008386853257,22346,0,1,"db[7,2]"
"db[8,2]",0.250167645806203,0.0702035797104718,0.111803816574761,0.202711221001224,0.250303651923264,0.297629098968014,0.387187275406238,0.99996133703025,40000,0,1,"db[8,2]"
"db[9,2]",0.250393823335326,0.06986501123632,0.113866305873642,0.203347824737558,0.250479980126289,0.297779873908398,0.387008372016367,0.999992104820086,40000,0,1,"db[9,2]"
"db[10,2]",0.250045666159986,0.0694305926281837,0.115328309657746,0.203209498998421,0.249633627663459,0.296856304762628,0.386967104738039,0.999994708851305,40000,0,1,"db[10,2]"
"db[11,2]",0.250269157413713,0.0701166638108773,0.112492606725237,0.202457988438701,0.250891004747644,0.297369481854745,0.387887364661068,1.00005015088735,27802,0,1,"db[11,2]"
"db[12,2]",0.250283892671229,0.0700803962904214,0.112581322814416,0.202385503208186,0.250114860222973,0.29794463303595,0.38748544641895,1.00001110899791,40000,0,1,"db[12,2]"
"db[13,2]",0.250023258375996,0.0697401093982665,0.11300484299954,0.202642909371112,0.250213146083599,0.297269650341872,0.386632785707094,0.999985138115721,40000,0,1,"db[13,2]"
"db[14,2]",0.249824920682876,0.0693698321873683,0.113004610868367,0.202924239513619,0.249965339228923,0.296505320877138,0.384134180575543,1.00003957626248,40000,0,1,"db[14,2]"
"db[15,2]",0.250592163432638,0.0700460365308373,0.114132600294697,0.203142140400293,0.250846295642136,0.297812708868576,0.388481026328366,0.999979764333361,40000,0,1,"db[15,2]"
"db[16,2]",0.250619704393704,0.0704027587231773,0.112190130629036,0.203091972330842,0.250708773553638,0.298900112031103,0.387382480269766,0.999978716817238,40000,0,1,"db[16,2]"
"db[17,2]",0.250007364266523,0.06992120987473,0.113089410884564,0.202476028666625,0.2501568743439,0.297921530116712,0.385397497233505,0.999995214449906,40000,0,1,"db[17,2]"
"db[18,2]",0.24959482070898,0.0698559353368994,0.112418089390025,0.202225619074996,0.250020581308671,0.296874898007349,0.387211847448777,1.00010140897622,21397,0,1,"db[18,2]"
"db[19,2]",0.249918592809561,0.0700795515503842,0.112257403510232,0.202423077782955,0.24997668961114,0.297473645711919,0.387257013846854,1.00000386559292,40000,0,1,"db[19,2]"
"db[20,2]",0,0,0,0,0,0,0,NA,1,1,1,"db[20,2]"
"db[21,2]",0,0,0,0,0,0,0,NA,1,1,1,"db[21,2]"
"db[22,2]",0,0,0,0,0,0,0,NA,1,1,1,"db[22,2]"
"db[23,2]",0,0,0,0,0,0,0,NA,1,1,1,"db[23,2]"
"db[24,2]",0.250017236489177,0.0698853156561329,0.113174098931871,0.20309803405172,0.24948156317938,0.297102535082422,0.388316711697682,1.00002952206683,40000,0,1,"db[24,2]"
"db[25,2]",0.250216972286237,0.0700237139082122,0.113650941086761,0.202910315270582,0.250238875158723,0.297552853738716,0.387078813517646,0.999975564201633,40000,0,1,"db[25,2]"
"db[26,2]",0.250281918657444,0.0699419056377599,0.113738445852107,0.202953641887171,0.250471622440481,0.297041856874712,0.387570452043955,1.00011564274767,15139,0,1,"db[26,2]"
"db[27,2]",0.249645165171568,0.0699892937309626,0.112697305258424,0.202144796976846,0.24936804918882,0.296737830548844,0.387568397296189,0.999978937815382,40000,0,1,"db[27,2]"
"db[28,2]",0.25018849578233,0.0697462859590419,0.112672263520035,0.203104746181216,0.250341204759417,0.297171746787881,0.386619807397568,1.00006068115532,28517,0,1,"db[28,2]"
"db[29,2]",0.249266944549043,0.0701700362895853,0.111838069392049,0.201570128797217,0.249351544024087,0.297004486454397,0.387591343062522,1.0001605687463,23238,0,1,"db[29,2]"
"db[30,2]",0.250439703182665,0.0695836218751911,0.113490481809206,0.203734701940067,0.25055892024888,0.297258811844967,0.387089872826365,1.00007396250668,40000,0,1,"db[30,2]"
"db[31,2]",0.250749633907318,0.0697243894388221,0.11354960802295,0.203885820343153,0.250926277422031,0.297526415164441,0.387819241160971,0.99998360180262,40000,0,1,"db[31,2]"
"db[32,2]",0.25006728699223,0.0700490375373327,0.113070199422844,0.202917058503165,0.250279439304542,0.296923072299431,0.388001658625302,1.00005592169543,40000,0,1,"db[32,2]"
"db[33,2]",0.24968620821311,0.06982923976022,0.113138768505561,0.202848324789446,0.249858960249702,0.296675923028288,0.386137208986578,1.00002433605555,40000,0,1,"db[33,2]"
"db[34,2]",0.249561332068152,0.0698437971264281,0.111760574840903,0.202339217709153,0.249545824277178,0.29740168697659,0.385808040739432,0.999993006229195,40000,0,1,"db[34,2]"
