"mean","sd","lcl","25%","median","75%","ucl","Rhat","n.eff","overlap0","f","parm"
"mean.p[1]",0.749321441361165,0.136944291776626,0.446266693956274,0.660244803199444,0.766763428189526,0.855063137007708,0.960339184698528,1.00014320386247,14537,0,1,"mean.p[1]"
"mean.p[2]",0.220239446566603,0.0965576605554048,0.0765501137226703,0.149963621378582,0.204817560133272,0.274074201736417,0.448888494521519,1.00001404628047,40000,0,1,"mean.p[2]"
"mphi[1]",0.353744411303853,0.0703551230994013,0.22833108392658,0.30407883280645,0.349559031692217,0.397983715181454,0.504104460070857,1.00001444090364,40000,0,1,"mphi[1]"
"mphi[2]",0.368328153433603,0.0149784016721755,0.339823095953156,0.358081801983225,0.367973481326127,0.378169592462552,0.398650114919228,1.00006145452599,40000,0,1,"mphi[2]"
"mfec1",3.17059729082048,0.160222419434472,2.85776527832856,3.06238145363391,3.17113633350897,3.27849024649816,3.48204474953701,1.00001029677091,40000,0,1,"mfec1"
"mfec2",2.75082663027836,0.200193871633544,2.35915733059664,2.61438771004816,2.75095943746855,2.88511302621887,3.14357501110883,1.00005616621653,40000,0,1,"mfec2"
"mean.lambda",0.834951868414165,0.0878102718951466,0.784424582538763,0.831834956888742,0.845907133722049,0.856501709285776,0.874250257920826,1.00095930967915,40000,0,1,"mean.lambda"
"prop.males",0.55955088864437,0.00988941355785118,0.540348981034169,0.552896558498444,0.559486698018101,0.566210004810813,0.578926055437627,1.00004171062251,32756,0,1,"prop.males"
"db[1,1]",0,0,0,0,0,0,0,NA,1,1,1,"db[1,1]"
"db[2,1]",0,0,0,0,0,0,0,NA,1,1,1,"db[2,1]"
"db[3,1]",0,0,0,0,0,0,0,NA,1,1,1,"db[3,1]"
"db[4,1]",0.25043092144572,0.0702162312528263,0.111830820379644,0.203430101064227,0.249972279518898,0.297166339727624,0.388409289261239,1.00003339871475,40000,0,1,"db[4,1]"
"db[5,1]",0.250493098806688,0.0700114388044826,0.114235963032489,0.202869560272923,0.250429627169755,0.297507351852736,0.388466674790698,1.00007878080136,24067,0,1,"db[5,1]"
"db[6,1]",0.25008931215137,0.0706104867160096,0.1121250621927,0.202292759791218,0.250025217183164,0.297722837994476,0.388809744670344,1.00003284177253,36933,0,1,"db[6,1]"
"db[7,1]",0.250608517925765,0.0700455496942123,0.113387856249938,0.202857835857978,0.250721983451792,0.29765955722759,0.388547089497258,0.999991943269506,40000,0,1,"db[7,1]"
"db[8,1]",0.250270262242729,0.0702281868000446,0.112898400771266,0.20295460310853,0.250237498303812,0.297327396221513,0.388037196601831,1.00006789519586,40000,0,1,"db[8,1]"
"db[9,1]",0.249871447142209,0.0699563208839282,0.112652061997757,0.202451805215782,0.2501373833493,0.297149074268729,0.387263537434357,0.999965686610934,40000,0,1,"db[9,1]"
"db[10,1]",0.250287050092798,0.070369662990969,0.112569421860034,0.202589978391123,0.250173803942893,0.297893721776013,0.388067676215221,0.999987616053412,40000,0,1,"db[10,1]"
"db[11,1]",0.250418348669778,0.0700092868462774,0.112418190863375,0.202952915558355,0.250674859759725,0.29758763305993,0.387729327215759,0.999965160169587,40000,0,1,"db[11,1]"
"db[12,1]",0.249998273318317,0.0701741629891922,0.11307636813437,0.202893663809911,0.249864326840199,0.296809667536282,0.388090756573414,1.0000275641663,36860,0,1,"db[12,1]"
"db[13,1]",0.250340818852833,0.0698213679984594,0.113489239727415,0.202847927993432,0.250327217665632,0.297576068762621,0.387161733195729,1.00008000339171,21194,0,1,"db[13,1]"
"db[14,1]",0.2497628136051,0.0701162493102106,0.112210204393697,0.20292120348559,0.249968534436671,0.297048621959899,0.387589258990323,1.00003336686334,40000,0,1,"db[14,1]"
"db[15,1]",0.249882255213437,0.0698923053736107,0.113517485341167,0.20258769346832,0.250003194374226,0.296847932824931,0.3873571791595,1.00003929444109,40000,0,1,"db[15,1]"
"db[16,1]",0.25019421016392,0.0700400854571269,0.113124854888174,0.202848268526101,0.250213248083416,0.297499868770424,0.387213719852101,1.0000246562622,34182,0,1,"db[16,1]"
"db[17,1]",0.249795833452907,0.0697111773287363,0.112311552368557,0.202673622909365,0.249889001203313,0.296687253717767,0.386420835234818,1.00003501340591,40000,0,1,"db[17,1]"
"db[18,1]",0.250333477999277,0.069921714792353,0.114110218355995,0.203058485037338,0.250023743923553,0.29726249231265,0.387887825651119,1.00001633950267,40000,0,1,"db[18,1]"
