"mean","sd","lcl","25%","median","75%","ucl","Rhat","n.eff","overlap0","f","parm"
"phi.ad",0.379703349466918,0.0374279967908462,0.305268888343243,0.354724055347306,0.380139532756014,0.405000271823775,0.452304592491226,1.0007719386553,3598,0,1,"phi.ad"
"mean.p[1]",0.585337361115225,0.0384520736026221,0.509800052391529,0.559183752297772,0.585238333706411,0.611280124059251,0.660525280928661,0.999985034511159,40000,0,1,"mean.p[1]"
"mean.p[2]",0.251660163806984,0.0379830190173281,0.17764376991554,0.225913155398201,0.251654177417772,0.277273959877004,0.326189989038608,0.999981457642185,40000,0,1,"mean.p[2]"
"mphi[1]",0.367107739605891,0.0347176647932486,0.301591179353065,0.34322683510553,0.366239484109377,0.389692045249629,0.437623451479307,1.00044403535504,7584,0,1,"mphi[1]"
"mphi[2]",0.286923465007609,0.0904282186357055,0.130453509667922,0.221629338130735,0.280349780087586,0.344759811049138,0.482720620250371,1.00015710817097,15814,0,1,"mphi[2]"
"mfec1",3.13910035838913,0.156948375720019,2.83091915384304,3.03330651163592,3.13848091893483,3.24527636801723,3.446691622207,1.00015344486958,14754,0,1,"mfec1"
"mfec2",2.7514102927184,0.199931807848178,2.35751185512489,2.61682415030704,2.75190648179636,2.88716310955373,3.14254828388035,0.999991108623555,40000,0,1,"mfec2"
"mean.lambda",0.835387212732946,0.0884220768220779,0.785066086232899,0.83281702837287,0.846367944934183,0.856913842417119,0.874478611386802,1.00025423033906,40000,0,1,"mean.lambda"
"prop.males",0.560309564020989,0.00991542899461257,0.5409949269827,0.553648955532976,0.560249754485597,0.566984948340469,0.579649597743343,1.0000885744308,22306,0,1,"prop.males"
"db[1,1]",0,0,0,0,0,0,0,NA,1,1,1,"db[1,1]"
"db[2,1]",0,0,0,0,0,0,0,NA,1,1,1,"db[2,1]"
"db[3,1]",0,0,0,0,0,0,0,NA,1,1,1,"db[3,1]"
"db[4,1]",0.2504733007444,0.0700948707986794,0.113557012477825,0.20270574800305,0.250490991800176,0.298031260122745,0.38861134071876,1.00011692843271,40000,0,1,"db[4,1]"
