"mean","sd","lcl","25%","median","75%","ucl","Rhat","n.eff","overlap0","f","parm"
"Ntot[1,1]",161.520126650047,15.3108560159727,132.868561108581,150.980119836828,160.960126813188,171.387670213075,193.357797797046,1.00003142090093,40000,0,1,"Ntot[1,1]"
"Ntot[2,1]",161.520126650047,15.3108560159727,132.868561108581,150.980119836828,160.960126813188,171.387670213075,193.357797797046,1.00003142090093,40000,0,1,"Ntot[2,1]"
"Ntot[3,1]",161.520126650047,15.3108560159727,132.868561108581,150.980119836828,160.960126813188,171.387670213075,193.357797797046,1.00003142090093,40000,0,1,"Ntot[3,1]"
"Ntot[4,1]",161.520126650047,15.3108560159727,132.868561108581,150.980119836828,160.960126813188,171.387670213075,193.357797797046,1.00003142090093,40000,0,1,"Ntot[4,1]"
"Ntot[5,1]",161.520126650047,15.3108560159727,132.868561108581,150.980119836828,160.960126813188,171.387670213075,193.357797797046,1.00003142090093,40000,0,1,"Ntot[5,1]"
"Ntot[6,1]",161.520126650047,15.3108560159727,132.868561108581,150.980119836828,160.960126813188,171.387670213075,193.357797797046,1.00003142090093,40000,0,1,"Ntot[6,1]"
"Ntot[7,1]",161.520126650047,15.3108560159727,132.868561108581,150.980119836828,160.960126813188,171.387670213075,193.357797797046,1.00003142090093,40000,0,1,"Ntot[7,1]"
"Ntot[8,1]",161.520126650047,15.3108560159727,132.868561108581,150.980119836828,160.960126813188,171.387670213075,193.357797797046,1.00003142090093,40000,0,1,"Ntot[8,1]"
"Ntot[9,1]",161.520126650047,15.3108560159727,132.868561108581,150.980119836828,160.960126813188,171.387670213075,193.357797797046,1.00003142090093,40000,0,1,"Ntot[9,1]"
"Ntot[10,1]",161.520126650047,15.3108560159727,132.868561108581,150.980119836828,160.960126813188,171.387670213075,193.357797797046,1.00003142090093,40000,0,1,"Ntot[10,1]"
"Ntot[11,1]",161.520126650047,15.3108560159727,132.868561108581,150.980119836828,160.960126813188,171.387670213075,193.357797797046,1.00003142090093,40000,0,1,"Ntot[11,1]"
"Ntot[12,1]",161.520126650047,15.3108560159727,132.868561108581,150.980119836828,160.960126813188,171.387670213075,193.357797797046,1.00003142090093,40000,0,1,"Ntot[12,1]"
"Ntot[13,1]",161.520126650047,15.3108560159727,132.868561108581,150.980119836828,160.960126813188,171.387670213075,193.357797797046,1.00003142090093,40000,0,1,"Ntot[13,1]"
"Ntot[14,1]",161.520126650047,15.3108560159727,132.868561108581,150.980119836828,160.960126813188,171.387670213075,193.357797797046,1.00003142090093,40000,0,1,"Ntot[14,1]"
"Ntot[15,1]",161.520126650047,15.3108560159727,132.868561108581,150.980119836828,160.960126813188,171.387670213075,193.357797797046,1.00003142090093,40000,0,1,"Ntot[15,1]"
"Ntot[16,1]",161.520126650047,15.3108560159727,132.868561108581,150.980119836828,160.960126813188,171.387670213075,193.357797797046,1.00003142090093,40000,0,1,"Ntot[16,1]"
"Ntot[17,1]",161.520126650047,15.3108560159727,132.868561108581,150.980119836828,160.960126813188,171.387670213075,193.357797797046,1.00003142090093,40000,0,1,"Ntot[17,1]"
"Ntot[18,1]",161.520126650047,15.3108560159727,132.868561108581,150.980119836828,160.960126813188,171.387670213075,193.357797797046,1.00003142090093,40000,0,1,"Ntot[18,1]"
"Ntot[20,1]",161.520126650047,15.3108560159727,132.868561108581,150.980119836828,160.960126813188,171.387670213075,193.357797797046,1.00003142090093,40000,0,1,"Ntot[20,1]"
"Ntot[21,1]",161.520126650047,15.3108560159727,132.868561108581,150.980119836828,160.960126813188,171.387670213075,193.357797797046,1.00003142090093,40000,0,1,"Ntot[21,1]"
"Ntot[22,1]",161.520126650047,15.3108560159727,132.868561108581,150.980119836828,160.960126813188,171.387670213075,193.357797797046,1.00003142090093,40000,0,1,"Ntot[22,1]"
"Ntot[23,1]",161.520126650047,15.3108560159727,132.868561108581,150.980119836828,160.960126813188,171.387670213075,193.357797797046,1.00003142090093,40000,0,1,"Ntot[23,1]"
"Ntot[24,1]",161.520126650047,15.3108560159727,132.868561108581,150.980119836828,160.960126813188,171.387670213075,193.357797797046,1.00003142090093,40000,0,1,"Ntot[24,1]"
"Ntot[25,1]",161.520126650047,15.3108560159727,132.868561108581,150.980119836828,160.960126813188,171.387670213075,193.357797797046,1.00003142090093,40000,0,1,"Ntot[25,1]"
"Ntot[26,1]",161.520126650047,15.3108560159727,132.868561108581,150.980119836828,160.960126813188,171.387670213075,193.357797797046,1.00003142090093,40000,0,1,"Ntot[26,1]"
"Ntot[27,1]",161.520126650047,15.3108560159727,132.868561108581,150.980119836828,160.960126813188,171.387670213075,193.357797797046,1.00003142090093,40000,0,1,"Ntot[27,1]"
"Ntot[28,1]",161.520126650047,15.3108560159727,132.868561108581,150.980119836828,160.960126813188,171.387670213075,193.357797797046,1.00003142090093,40000,0,1,"Ntot[28,1]"
"Ntot[29,1]",161.520126650047,15.3108560159727,132.868561108581,150.980119836828,160.960126813188,171.387670213075,193.357797797046,1.00003142090093,40000,0,1,"Ntot[29,1]"
"Ntot[30,1]",161.520126650047,15.3108560159727,132.868561108581,150.980119836828,160.960126813188,171.387670213075,193.357797797046,1.00003142090093,40000,0,1,"Ntot[30,1]"
"Ntot[31,1]",161.520126650047,15.3108560159727,132.868561108581,150.980119836828,160.960126813188,171.387670213075,193.357797797046,1.00003142090093,40000,0,1,"Ntot[31,1]"
"Ntot[32,1]",161.520126650047,15.3108560159727,132.868561108581,150.980119836828,160.960126813188,171.387670213075,193.357797797046,1.00003142090093,40000,0,1,"Ntot[32,1]"
"Ntot[33,1]",161.520126650047,15.3108560159727,132.868561108581,150.980119836828,160.960126813188,171.387670213075,193.357797797046,1.00003142090093,40000,0,1,"Ntot[33,1]"
"Ntot[34,1]",161.520126650047,15.3108560159727,132.868561108581,150.980119836828,160.960126813188,171.387670213075,193.357797797046,1.00003142090093,40000,0,1,"Ntot[34,1]"
"Ntot[35,1]",161.520126650047,15.3108560159727,132.868561108581,150.980119836828,160.960126813188,171.387670213075,193.357797797046,1.00003142090093,40000,0,1,"Ntot[35,1]"
"Ntot[36,1]",161.520126650047,15.3108560159727,132.868561108581,150.980119836828,160.960126813188,171.387670213075,193.357797797046,1.00003142090093,40000,0,1,"Ntot[36,1]"
"Ntot[37,1]",161.520126650047,15.3108560159727,132.868561108581,150.980119836828,160.960126813188,171.387670213075,193.357797797046,1.00003142090093,40000,0,1,"Ntot[37,1]"
"Ntot[1,2]",137.788325,12.945557476634,113,129,138,146,164,1.0000868119678,19484,0,1,"Ntot[1,2]"
"Ntot[2,2]",137.788325,12.945557476634,113,129,138,146,164,1.0000868119678,19484,0,1,"Ntot[2,2]"
"Ntot[3,2]",137.788325,12.945557476634,113,129,138,146,164,1.0000868119678,19484,0,1,"Ntot[3,2]"
"Ntot[4,2]",137.788325,12.945557476634,113,129,138,146,164,1.0000868119678,19484,0,1,"Ntot[4,2]"
"Ntot[5,2]",137.788325,12.945557476634,113,129,138,146,164,1.0000868119678,19484,0,1,"Ntot[5,2]"
"Ntot[6,2]",137.788325,12.945557476634,113,129,138,146,164,1.0000868119678,19484,0,1,"Ntot[6,2]"
"Ntot[7,2]",137.788325,12.945557476634,113,129,138,146,164,1.0000868119678,19484,0,1,"Ntot[7,2]"
"Ntot[8,2]",137.788325,12.945557476634,113,129,138,146,164,1.0000868119678,19484,0,1,"Ntot[8,2]"
"Ntot[9,2]",137.788325,12.945557476634,113,129,138,146,164,1.0000868119678,19484,0,1,"Ntot[9,2]"
"Ntot[10,2]",137.788325,12.945557476634,113,129,138,146,164,1.0000868119678,19484,0,1,"Ntot[10,2]"
"Ntot[11,2]",137.788325,12.945557476634,113,129,138,146,164,1.0000868119678,19484,0,1,"Ntot[11,2]"
"Ntot[12,2]",137.788325,12.945557476634,113,129,138,146,164,1.0000868119678,19484,0,1,"Ntot[12,2]"
"Ntot[13,2]",137.788325,12.945557476634,113,129,138,146,164,1.0000868119678,19484,0,1,"Ntot[13,2]"
"Ntot[14,2]",137.788325,12.945557476634,113,129,138,146,164,1.0000868119678,19484,0,1,"Ntot[14,2]"
"Ntot[15,2]",137.788325,12.945557476634,113,129,138,146,164,1.0000868119678,19484,0,1,"Ntot[15,2]"
"Ntot[16,2]",137.788325,12.945557476634,113,129,138,146,164,1.0000868119678,19484,0,1,"Ntot[16,2]"
"Ntot[17,2]",137.788325,12.945557476634,113,129,138,146,164,1.0000868119678,19484,0,1,"Ntot[17,2]"
"Ntot[18,2]",137.788325,12.945557476634,113,129,138,146,164,1.0000868119678,19484,0,1,"Ntot[18,2]"
"Ntot[19,2]",161.520126650047,15.3108560159727,132.868561108581,150.980119836828,160.960126813188,171.387670213075,193.357797797046,1.00003142090093,40000,0,1,"Ntot[19,2]"
"Ntot[20,2]",137.788325,12.945557476634,113,129,138,146,164,1.0000868119678,19484,0,1,"Ntot[20,2]"
"Ntot[21,2]",137.788325,12.945557476634,113,129,138,146,164,1.0000868119678,19484,0,1,"Ntot[21,2]"
"Ntot[22,2]",137.788325,12.945557476634,113,129,138,146,164,1.0000868119678,19484,0,1,"Ntot[22,2]"
"Ntot[23,2]",137.788325,12.945557476634,113,129,138,146,164,1.0000868119678,19484,0,1,"Ntot[23,2]"
"Ntot[24,2]",137.788325,12.945557476634,113,129,138,146,164,1.0000868119678,19484,0,1,"Ntot[24,2]"
"Ntot[25,2]",137.788325,12.945557476634,113,129,138,146,164,1.0000868119678,19484,0,1,"Ntot[25,2]"
"Ntot[26,2]",137.788325,12.945557476634,113,129,138,146,164,1.0000868119678,19484,0,1,"Ntot[26,2]"
"Ntot[27,2]",137.788325,12.945557476634,113,129,138,146,164,1.0000868119678,19484,0,1,"Ntot[27,2]"
"Ntot[28,2]",137.788325,12.945557476634,113,129,138,146,164,1.0000868119678,19484,0,1,"Ntot[28,2]"
"Ntot[29,2]",137.788325,12.945557476634,113,129,138,146,164,1.0000868119678,19484,0,1,"Ntot[29,2]"
"Ntot[30,2]",137.788325,12.945557476634,113,129,138,146,164,1.0000868119678,19484,0,1,"Ntot[30,2]"
"Ntot[31,2]",137.788325,12.945557476634,113,129,138,146,164,1.0000868119678,19484,0,1,"Ntot[31,2]"
"Ntot[32,2]",137.788325,12.945557476634,113,129,138,146,164,1.0000868119678,19484,0,1,"Ntot[32,2]"
"Ntot[33,2]",137.788325,12.945557476634,113,129,138,146,164,1.0000868119678,19484,0,1,"Ntot[33,2]"
"Ntot[34,2]",137.788325,12.945557476634,113,129,138,146,164,1.0000868119678,19484,0,1,"Ntot[34,2]"
"Ntot[35,2]",137.788325,12.945557476634,113,129,138,146,164,1.0000868119678,19484,0,1,"Ntot[35,2]"
"Ntot[36,2]",137.788325,12.945557476634,113,129,138,146,164,1.0000868119678,19484,0,1,"Ntot[36,2]"
"Ntot[37,2]",137.788325,12.945557476634,113,129,138,146,164,1.0000868119678,19484,0,1,"Ntot[37,2]"
"Ntot[38,2]",161.520126650047,15.3108560159727,132.868561108581,150.980119836828,160.960126813188,171.387670213075,193.357797797046,1.00003142090093,40000,0,1,"Ntot[38,2]"
"Ntot[1,3]",130.13805,12.330676921294,107,122,130,138,155,1.00006729267398,40000,0,1,"Ntot[1,3]"
"Ntot[2,3]",130.13805,12.330676921294,107,122,130,138,155,1.00006729267398,40000,0,1,"Ntot[2,3]"
"Ntot[3,3]",130.13805,12.330676921294,107,122,130,138,155,1.00006729267398,40000,0,1,"Ntot[3,3]"
"Ntot[4,3]",130.13805,12.330676921294,107,122,130,138,155,1.00006729267398,40000,0,1,"Ntot[4,3]"
"Ntot[5,3]",130.13805,12.330676921294,107,122,130,138,155,1.00006729267398,40000,0,1,"Ntot[5,3]"
"Ntot[6,3]",130.13805,12.330676921294,107,122,130,138,155,1.00006729267398,40000,0,1,"Ntot[6,3]"
"Ntot[7,3]",130.13805,12.330676921294,107,122,130,138,155,1.00006729267398,40000,0,1,"Ntot[7,3]"
"Ntot[8,3]",130.13805,12.330676921294,107,122,130,138,155,1.00006729267398,40000,0,1,"Ntot[8,3]"
"Ntot[9,3]",130.13805,12.330676921294,107,122,130,138,155,1.00006729267398,40000,0,1,"Ntot[9,3]"
"Ntot[10,3]",130.13805,12.330676921294,107,122,130,138,155,1.00006729267398,40000,0,1,"Ntot[10,3]"
"Ntot[11,3]",130.13805,12.330676921294,107,122,130,138,155,1.00006729267398,40000,0,1,"Ntot[11,3]"
"Ntot[12,3]",130.13805,12.330676921294,107,122,130,138,155,1.00006729267398,40000,0,1,"Ntot[12,3]"
"Ntot[13,3]",130.13805,12.330676921294,107,122,130,138,155,1.00006729267398,40000,0,1,"Ntot[13,3]"
