parm,mean,sd,lcl,25%,median,75%,ucl,Rhat,n.eff,overlap0,f,parm
phi.ad,0.433432006,0.08399652,0.299626111,0.365735088,0.427654662,0.494625077,0.603464186,1.001076348,2592,0,1,phi.ad
mean.p[1],0.779569625,0.119410955,0.516213057,0.701425137,0.793679354,0.872066238,0.964952209,1.000141943,15859,0,1,mean.p[1]
mean.p[2],0.286052681,0.142100053,0.09061992,0.184354522,0.258567322,0.355826939,0.648357291,1.000088614,34487,0,1,mean.p[2]
mphi[1],0.326168428,0.061031448,0.205497995,0.281839483,0.328758766,0.372258637,0.433531653,1.000832327,3231,0,1,mphi[1]
mphi[2],0.281386948,0.089498021,0.127400076,0.216484472,0.274637999,0.338108375,0.474468222,0.999994125,40000,0,1,mphi[2]
mfec1,3.148270124,0.158919613,2.838540375,3.040602872,3.148171767,3.254974449,3.45912728,1.000443292,5349,0,1,mfec1
mfec2,2.749667552,0.19963761,2.358055184,2.615257249,2.748824748,2.884979379,3.139332923,0.999988895,40000,0,1,mfec2
mean.lambda,0.83654535,0.082688449,0.785318823,0.833021845,0.846447772,0.856822224,0.874859874,1.001978907,29758,0,1,mean.lambda
prop.males,0.560113894,0.009844742,0.540950242,0.553488743,0.560079183,0.566701057,0.579412856,1.000008767,40000,0,1,prop.males
"db[1,1]",0,0,0,0,0,0,0,NA,1,1,1,"db[1,1]"
"db[2,1]",0,0,0,0,0,0,0,NA,1,1,1,"db[2,1]"
"db[3,1]",0,0,0,0,0,0,0,NA,1,1,1,"db[3,1]"
"db[4,1]",0.250013462,0.070352293,0.110569431,0.202612048,0.250206771,0.297882402,0.386873886,0.999999615,40000,0,1,"db[4,1]"
"db[5,1]",0.250158399,0.070028352,0.112770612,0.202503892,0.250304722,0.297796359,0.387627732,1.000016883,40000,0,1,"db[5,1]"
"db[6,1]",0.250303475,0.070402362,0.112114408,0.202822778,0.250289737,0.297696226,0.389204878,1.000052587,25182,0,1,"db[6,1]"
"db[7,1]",0.24985537,0.069955038,0.112214463,0.202717603,0.249837161,0.297546465,0.385251132,0.999991473,40000,0,1,"db[7,1]"
"db[8,1]",0.250657382,0.069961989,0.114757128,0.203276062,0.250782099,0.297615162,0.388152782,0.999996328,40000,0,1,"db[8,1]"
"db[9,1]",0.25019633,0.070208483,0.113002329,0.202387504,0.250076976,0.297524637,0.38752436,1.000004229,40000,0,1,"db[9,1]"
"db[10,1]",0.250238707,0.069590492,0.11434205,0.203417263,0.25052185,0.29735196,0.385327868,1.000022492,40000,0,1,"db[10,1]"
"db[11,1]",0.249877612,0.069743325,0.114541607,0.202517463,0.250245075,0.296998047,0.386416557,0.999981012,40000,0,1,"db[11,1]"
"db[12,1]",0.250284657,0.070140066,0.112433417,0.203022061,0.25004711,0.297506823,0.388002246,0.9999768,40000,0,1,"db[12,1]"
"db[13,1]",0.249840201,0.070085638,0.112361622,0.202212183,0.249903346,0.296984339,0.387866602,0.999986044,40000,0,1,"db[13,1]"
"db[14,1]",0.250037749,0.070299708,0.111827403,0.202316428,0.249956749,0.297700987,0.388057795,0.9999824,40000,0,1,"db[14,1]"
"db[15,1]",0.250320676,0.069757538,0.113121946,0.203157473,0.250135054,0.29735034,0.386694619,1.00000659,40000,0,1,"db[15,1]"
"db[16,1]",0.249579729,0.069936877,0.112792095,0.202352269,0.249865677,0.296650237,0.387668246,1.000056941,40000,0,1,"db[16,1]"
"db[17,1]",0.249985169,0.069533723,0.114854828,0.202643069,0.249704346,0.296866091,0.386910779,1.000077747,20156,0,1,"db[17,1]"
"db[18,1]",0.250168111,0.069673113,0.114636174,0.203042566,0.249921758,0.297307026,0.387304728,1.00001989,40000,0,1,"db[18,1]"
"db[19,1]",0.250823617,0.069733584,0.114073049,0.203731487,0.250601379,0.297936749,0.387016931,1.00000768,40000,0,1,"db[19,1]"
"db[20,1]",0.25019427,0.070161697,0.112555672,0.202914883,0.25063392,0.297237803,0.38729033,0.999975487,40000,0,1,"db[20,1]"
"db[21,1]",0.249349112,0.069958463,0.112652495,0.202071656,0.249789198,0.296454832,0.386830705,1.000010464,40000,0,1,"db[21,1]"
"db[22,1]",0.250375852,0.069928827,0.113812638,0.203241424,0.250327787,0.297681499,0.3870341,1.000047799,40000,0,1,"db[22,1]"
"db[23,1]",0.249942832,0.069832147,0.113379428,0.202723385,0.249734055,0.297129564,0.387077891,1.000036927,40000,0,1,"db[23,1]"
"db[24,1]",0.250667127,0.070560977,0.112400441,0.202964506,0.250265311,0.298260861,0.389913632,1.000101138,33739,0,1,"db[24,1]"
"db[25,1]",0.250305793,0.069492411,0.11366713,0.203456671,0.250124326,0.297099063,0.386976816,1.000040533,40000,0,1,"db[25,1]"
"db[26,1]",0.249828281,0.07012524,0.113698037,0.202550533,0.249529732,0.296881363,0.388702248,1.000019889,39170,0,1,"db[26,1]"
"db[27,1]",0.250136073,0.069891067,0.112592539,0.202792705,0.250332543,0.297473844,0.387488272,1.000041836,40000,0,1,"db[27,1]"
"db[28,1]",0.249674906,0.070308033,0.111753433,0.202302422,0.249713869,0.29701734,0.387635161,0.99998252,40000,0,1,"db[28,1]"
"db[29,1]",0.250060196,0.069721605,0.114072877,0.202895702,0.250170518,0.297180904,0.386860208,1.00004416,30213,0,1,"db[29,1]"
"db[30,1]",0.250017662,0.069394939,0.114253674,0.203016175,0.250037202,0.297207777,0.386444041,1.000063203,23058,0,1,"db[30,1]"
