"mean","sd","lcl","25%","median","75%","ucl","Rhat","n.eff","overlap0","f","parm"
"phi.ad",0.389615917645546,0.038405474458611,0.314584125273516,0.363739721276307,0.389708514646618,0.415655587599308,0.465018212037105,1.00039521860617,7013,0,1,"phi.ad"
"mean.p[1]",0.742322909296075,0.12661602589829,0.478290371867374,0.656006477886476,0.752298402692065,0.839194340796752,0.952940326529973,1.00011539850306,17457,0,1,"mean.p[1]"
"mean.p[2]",0.23437551875059,0.105992883820371,0.0795510696040077,0.158492741665314,0.216590047898743,0.290885411157659,0.488992688374798,1.0000981220847,18128,0,1,"mean.p[2]"
"mphi[1]",0.407889626391777,0.0815308649455653,0.263112994718498,0.350496713581931,0.403121711665599,0.459716554185916,0.581306529295114,1.00012157892743,17291,0,1,"mphi[1]"
"mphi[2]",0.352808999532811,0.0363915661338547,0.284151783182222,0.327917252797327,0.351818340920397,0.376731769261531,0.42644154165013,1.00058647882953,4551,0,1,"mphi[2]"
"mphi[3]",0.277856688627188,0.0892158505315504,0.125194028587202,0.213098618298493,0.270484206636221,0.334939634755727,0.471135556223039,1.0000270522063,40000,0,1,"mphi[3]"
"mfec1",3.15706446942216,0.157939183950258,2.84728477516089,3.04969375791831,3.15741724437033,3.26294449548864,3.46865870602659,1.00039953718949,6712,0,1,"mfec1"
"mfec2",2.75135787717658,0.198758675470219,2.36411424273553,2.61701397408066,2.75056986023387,2.88661234759074,3.14159460630537,1.00002842886888,40000,0,1,"mfec2"
"mean.lambda",0.835148270998094,0.0929650706255546,0.785666720362837,0.833009430282535,0.847047480082689,0.857816166450296,0.875743694534938,1.00015491661123,40000,0,1,"mean.lambda"
"prop.males",0.559837704115246,0.00986868553187302,0.540671688812764,0.553138549328073,0.559746977166274,0.566463168694405,0.57917957717252,1.00008280106091,31668,0,1,"prop.males"
"db[1,1]",0,0,0,0,0,0,0,NA,1,1,1,"db[1,1]"
"db[2,1]",0,0,0,0,0,0,0,NA,1,1,1,"db[2,1]"
"db[3,1]",0,0,0,0,0,0,0,NA,1,1,1,"db[3,1]"
"db[4,1]",0.249766490393229,0.0696376804826791,0.112541732277526,0.20298984387455,0.249846488295583,0.296663425636983,0.386553408133451,1.00002643721671,40000,0,1,"db[4,1]"
"db[5,1]",0.249990528041412,0.0697449937900636,0.114223093790015,0.202892085993534,0.249439453641283,0.296591009370552,0.388434033219323,1.00009534328553,18472,0,1,"db[5,1]"
"db[6,1]",0.249922257111585,0.0698357846711579,0.111681563256426,0.202842831751639,0.249952709653802,0.297324238976387,0.386902875307999,0.999989520020731,40000,0,1,"db[6,1]"
"db[7,1]",0.249790555645926,0.0697344982448716,0.112559934353697,0.203046323374872,0.249794846933502,0.296796451709902,0.385374068569116,1.00004642095658,40000,0,1,"db[7,1]"
"db[8,1]",0.249664918334202,0.0696434687688081,0.114303986138799,0.202807502109114,0.249631131567723,0.296462973271362,0.386529006012142,1.00003811277531,34851,0,1,"db[8,1]"
"db[9,1]",0.250689046756073,0.0701040302809101,0.11255520020612,0.203874912856644,0.25036774193564,0.297935965420413,0.387482653989266,1.00001933986171,40000,0,1,"db[9,1]"
"db[10,1]",0.249554621536092,0.069738814303495,0.114800028228178,0.202188646720001,0.249762273692434,0.296456384551232,0.38551937733683,0.999995741648496,40000,0,1,"db[10,1]"
"db[11,1]",0.250437970363687,0.069668746065722,0.114210710717446,0.20296980015345,0.250474803664825,0.297745863975505,0.386352675471431,1.00006980092237,36132,0,1,"db[11,1]"
"db[12,1]",0.25051516354299,0.0700015342610828,0.114012675813144,0.202821395746177,0.250785971225321,0.297940363487931,0.387872223525617,1.0000034089084,40000,0,1,"db[12,1]"
"db[13,1]",0.251156547089219,0.0697482888361312,0.114985316955436,0.203742691379525,0.250825326669811,0.298489213986434,0.388293743383621,1.00006806527872,25040,0,1,"db[13,1]"
"db[14,1]",0.250294566516822,0.069386749348871,0.11353843200395,0.203596694077943,0.250753795752634,0.297100191610805,0.3856963982859,1.00001108135706,40000,0,1,"db[14,1]"
"db[15,1]",0.249904209032089,0.0698531115248826,0.111602779870675,0.203354482112407,0.250277983802385,0.297001306780984,0.386156310860889,1.0000392569084,29311,0,1,"db[15,1]"
"db[16,1]",0.249681020381615,0.0700133228132652,0.112295301436743,0.202260140397948,0.249642860287159,0.296735625274352,0.38654210809462,0.999980594499623,40000,0,1,"db[16,1]"
"db[17,1]",0.250166938528296,0.0695934040244885,0.113863984976911,0.20307487542685,0.250363943788909,0.296877734718368,0.386010769384426,1.00006725454903,23949,0,1,"db[17,1]"
"db[18,1]",0.24985045077454,0.0699677180144073,0.112845987349985,0.202731537405631,0.249768543046644,0.297098431322591,0.386678547421723,1.00004512430774,30072,0,1,"db[18,1]"
"db[19,1]",0.249923114828814,0.0693512599301172,0.114940299681383,0.203383448965684,0.249390409866281,0.296092744618353,0.387244795178387,1.00001001656315,40000,0,1,"db[19,1]"
"db[20,1]",0,0,0,0,0,0,0,NA,1,1,1,"db[20,1]"
"db[21,1]",0,0,0,0,0,0,0,NA,1,1,1,"db[21,1]"
"db[22,1]",0,0,0,0,0,0,0,NA,1,1,1,"db[22,1]"
"db[23,1]",0,0,0,0,0,0,0,NA,1,1,1,"db[23,1]"
"db[24,1]",0.249585951027174,0.0695362198318017,0.113004500089087,0.202720544091932,0.249935560096305,0.296654099924694,0.384984080001444,1.00000072774788,40000,0,1,"db[24,1]"
"db[25,1]",0.249834622473468,0.0696155203994192,0.113054293768959,0.202690174948084,0.250058317836279,0.29669607747783,0.386296082568403,1.00010614127161,17813,0,1,"db[25,1]"
"db[26,1]",0.250011523018148,0.070092844509809,0.113542330262988,0.202588829631886,0.249131060830606,0.297672716108326,0.388328105406239,1.00001521336739,40000,0,1,"db[26,1]"
"db[27,1]",0.250265472921949,0.0700367281115963,0.112377134369234,0.203318460389307,0.250182352184884,0.297678851543098,0.386982382864401,1.00003047815334,37328,0,1,"db[27,1]"
"db[28,1]",0.250190829244,0.0700138062515026,0.112098414649563,0.202818386339002,0.250410082955151,0.29750618083652,0.386846152290326,1.00003611051537,40000,0,1,"db[28,1]"
"db[29,1]",0.249904842809323,0.069600154218973,0.112224151915069,0.203324321435715,0.250016615494356,0.29713223029828,0.386114861816908,0.99997221778024,40000,0,1,"db[29,1]"
"db[30,1]",0.24969094526249,0.070174929822867,0.112717731029197,0.202198281011229,0.249823728051386,0.297092044814051,0.387600445365843,0.999992980887668,40000,0,1,"db[30,1]"
"db[31,1]",0.250171720557338,0.0699296389619364,0.113613938941483,0.202636480463512,0.250048170415915,0.297519494291014,0.386896637290717,1.00000682969624,40000,0,1,"db[31,1]"
"db[32,1]",0.25006924571258,0.0697730218859545,0.112202174779517,0.203015161077008,0.250057246046841,0.297053664284659,0.386081936494896,1.00007253794411,29744,0,1,"db[32,1]"
"db[33,1]",0.249562839256066,0.0700313686225953,0.112608953482764,0.201991772264311,0.249602270234273,0.296353046715723,0.387623084150445,1.00000517156995,40000,0,1,"db[33,1]"
"db[34,1]",0.249941458848835,0.0702143417354567,0.113504748194932,0.202425570850616,0.249409575328855,0.297508834933978,0.387956831584146,0.999974283324019,40000,0,1,"db[34,1]"
"db[35,1]",0.250158439632043,0.0701968787691688,0.111966708509162,0.202604399422672,0.250210085840271,0.297767773789041,0.387612120835576,1.00003438365793,40000,0,1,"db[35,1]"
"db[36,1]",0.250179741457156,0.0704470494537006,0.111335999611669,0.202752089875803,0.250349832936025,0.297869550977424,0.387948323797568,0.999970456223846,40000,0,1,"db[36,1]"
"db[37,1]",0.250286810993412,0.069628055927219,0.114681788478447,0.20308299824462,0.24996969118213,0.297152186622874,0.388147017811715,1.00002398656423,40000,0,1,"db[37,1]"
"db[38,1]",0.250351491728811,0.0697077006585952,0.11448174666891,0.203464142560054,0.249794843091165,0.297333833406142,0.387482525957486,1.00012168046915,22649,0,1,"db[38,1]"
"db[39,1]",0.249711825698644,0.0698194841830355,0.113303166027661,0.202254958884876,0.249911777335872,0.297474148644753,0.385970716071237,1.00007409855065,24195,0,1,"db[39,1]"
"db[40,1]",0,0,0,0,0,0,0,NA,1,1,1,"db[40,1]"
