"mean","sd","lcl","25%","median","75%","ucl","Rhat","n.eff","overlap0","f","parm"
"Ntot[1]",259.662704056979,47.6812951477378,191.516645129911,225.617738140073,250.519456278625,284.42320000589,377.712090249104,1.00362569104952,1193,0,1,"Ntot[1]"
"Ntot[2]",222.10995,41.8294752970031,163,192,214,244,325,1.00314050921389,2138,0,1,"Ntot[2]"
"Ntot[3]",212.362225,40.0192292094318,155,184,204,233,312,1.00326271456452,1517,0,1,"Ntot[3]"
"Ntot[4]",206.746825,39.562576475197,151,179,199,227,306,1.00390184198457,1310,0,1,"Ntot[4]"
"Ntot[5]",195.477675,37.5466862111094,142,169,188,215,289,1.00400541452633,1519,0,1,"Ntot[5]"
"Ntot[6]",179.34865,34.5868884044046,130,155,173,197,265,1.00380865081885,1411,0,1,"Ntot[6]"
"Ntot[7]",166.84005,32.3178375988118,121,144,160,183,246,1.00288175899706,1750,0,1,"Ntot[7]"
"Ntot[8]",155.428875,30.1247643770054,112,134,150,171,229,1.00320096516145,1673,0,1,"Ntot[8]"
"Ntot[9]",145.901575,29.31404561556,104,125,140,161,217,1.00397719799484,1503,0,1,"Ntot[9]"
"Ntot[10]",99.27835,20.3224677720229,69,85,96,110,149,1.00210065195203,1973,0,1,"Ntot[10]"
"Ntot[11]",64.1271,14.1940826540344,42,54,62,72,98,1.0022785545103,1566,0,1,"Ntot[11]"
"Ntot[12]",55.385725,12.1427273447961,37,47,54,62,84,1.0020998337009,1994,0,1,"Ntot[12]"
"Ntot[13]",40.520875,9.47940455472509,26,34,39,46,63,1.00222283653481,2016,0,1,"Ntot[13]"
"Ntot[14]",42.199925,9.42878186949744,28,36,41,47,65,1.00245207120693,2002,0,1,"Ntot[14]"
"Ntot[15]",45.01635,9.89388598590046,31,38,43,50,69,1.00259248818617,1972,0,1,"Ntot[15]"
"Ntot[16]",49.132125,11.1193326676267,33,41,47,55,76,1.00206416551087,2785,0,1,"Ntot[16]"
"Ntot[17]",40.575325,9.48498419964455,26,34,39,46,63,1.00201818641099,3517,0,1,"Ntot[17]"
"Ntot[18]",23.541375,6.21987582518791,14,19,23,27,38,1.00169018728241,2065,0,1,"Ntot[18]"
"Ntot[19]",18.1951,4.96543073434314,10,15,18,21,30,1.00112224036242,2881,0,1,"Ntot[19]"
"Ntot[20]",10.7801,3.55812598097825,5,8,10,13,19,1.00106292022182,3454,0,1,"Ntot[20]"
"Ntot[21]",7.46065,2.80162413698646,3,5,7,9,14,1.00117798123377,2640,0,1,"Ntot[21]"
"Ntot[22]",7.174375,2.81940899588055,3,5,7,9,14,1.00102343448763,3053,0,1,"Ntot[22]"
"Ntot[23]",22.511725,7.48363632498875,9,17,22,27,38,1.00029470579046,8628,0,1,"Ntot[23]"
"Ntot[24]",37.6194,14.500005168749,15,27,36,46,70,1.00082630691844,3525,0,1,"Ntot[24]"
"Ntot[25]",52.77045,23.897123961072,19,35,49,66,110,1.00106367105261,3815,0,1,"Ntot[25]"
"Ntot[26]",68.1672,35.8225672665729,21,43,61,85,157,1.00152838957578,3936,0,1,"Ntot[26]"
"Ntot[27]",84.211075,50.5059114710517,24,49,72,106,213,1.00214401394777,3666,0,1,"Ntot[27]"
"Ntot[28]",101.180525,69.0840166084612,25,55,83,128,281,1.00212069208279,4056,0,1,"Ntot[28]"
"Ntot[29]",119.3866,93.2471769885845,27,59,93,150,365,1.00255519423492,4013,0,1,"Ntot[29]"
"Ntot[30]",138.931225,123.184726151087,28,63,102,172,463,1.00290031968385,3743,0,1,"Ntot[30]"
"Ntot[31]",160.360575,162.008194166356,29,66,111,195,585.025000000001,1.0040560868038,3265,0,1,"Ntot[31]"
"Ntot[32]",184.6097,214.790151627445,30,70,120,219,737,1.00688726462268,3020,0,1,"Ntot[32]"
"Ntot[33]",211.170175,270.791808352018,30,72,127,244,908,1.00720126098985,3184,0,1,"Ntot[33]"
"Ntot[34]",241.646625,353.566999933104,30,74,134,268,1118,1.00712588754089,3096,0,1,"Ntot[34]"
"Ntot[35]",275.7628,444.415996365574,31,76,140,295,1364.025,1.00890809274834,2867,0,1,"Ntot[35]"
"Ntot[36]",315.6809,569.506579082964,31,78,147,321,1677.05,1.00884745882014,2848,0,1,"Ntot[36]"
"Ntot[37]",364.595925,760.596661003986,31,80,153,350,2041.025,1.00908499273031,2820,0,1,"Ntot[37]"
"Ntot[38]",421.152625,1004.60749690423,31,81,159,379,2480.025,1.00512088970686,3113,0,1,"Ntot[38]"
"Ntot[39]",486.0389,1256.08240592011,32,82,165,408,3072,1.00595858823624,2857,0,1,"Ntot[39]"
"Ntot[40]",565.788125,1623.71842601239,32,84,170,438,3720.075,1.00508825639134,3045,0,1,"Ntot[40]"
"Ntot[41]",663.4769,2204.20648109964,32,85,175,472,4554.075,1.00939377171772,3262,0,1,"Ntot[41]"
"Ntot[42]",776.525125,2892.47488035628,32,85,180,502,5425.20000000001,1.02205263172732,3172,0,1,"Ntot[42]"
"Ntot[43]",916.090975,4096.39633530765,32,86,183,536,6630.17500000001,1.05898124467062,3698,0,1,"Ntot[43]"
"Ntot[44]",1082.844375,4704.09364980997,32,87,189,564,8158.025,1.02532951097521,2732,0,1,"Ntot[44]"
"Ntot[45]",1310.96715,6732.54282330923,32,88,192,602,10005.225,1.03210240384241,3359,0,1,"Ntot[45]"
"Ntot[46]",1598.60245,9878.45982126591,32,87,194,640,11992.175,1.02717772026014,3971,0,1,"Ntot[46]"
"Ntot[47]",1937.633525,13141.5544394127,32,88,199,669,14526.175,1.02492905099607,4105,0,1,"Ntot[47]"
"Ntot[48]",2364.63945,17634.7711912553,32,88,202,710,17484.2,1.01826582126335,4350,0,1,"Ntot[48]"
"Ntot[49]",2932.25295,27580.488270579,32,88,206,751,20569.9250000001,1.04258369943811,6240,0,1,"Ntot[49]"
"Ntot[50]",3651.9754,38232.5876852597,32,89,208,799,24325.2500000001,1.05363486366244,6057,0,1,"Ntot[50]"
"Ntot[51]",4513.442075,50210.4116629149,32,89,210,846,29636.8750000001,1.05881946547444,5917,0,1,"Ntot[51]"
"Ntot[52]",5604.314925,61909.3067941638,32,89,213,885,35914.0500000001,1.0439853970969,4542,0,1,"Ntot[52]"
"mphij",0.322429270467176,0.0665087562486611,0.208457892941177,0.267125781173212,0.321598403330229,0.379164547529059,0.433495936080344,1.00321239439138,786,0,1,"mphij"
"mphia",0.441101843345542,0.0773123535660041,0.292916805512448,0.38079285734174,0.449655841932265,0.507411019221958,0.55498054747844,1.00182641245376,1622,0,1,"mphia"
"mfec1",3.2117631493401,0.453406343269709,2.44433434057142,2.82886384395828,3.21491669580321,3.60005026994873,3.95966159663346,1.00142543430899,1764,0,1,"mfec1"
"mfec2",1.75970878061731,0.432200272806501,1.03939690124877,1.38933857113265,1.76256827057163,2.13461739433244,2.46507333471395,1.00008315801168,24379,0,1,"mfec2"
"mean.lambda",0.840034788587805,0.0265939254240616,0.809247982993282,0.831410974574701,0.841447356617452,0.850780859597988,0.866724149749272,0.999986675804639,40000,0,1,"mean.lambda"
"prop.males",0.62622172370731,0.0967338673623596,0.422346307665144,0.560056872448735,0.635352912591451,0.698213637395733,0.789992417327358,1.0030153319194,1762,0,1,"prop.males"
"deviance",142.309750168745,6.0831638930615,132.037697438169,137.986216124361,141.732674423132,146.062561495651,155.695418104981,1.00034215094126,8326,0,1,"deviance"
