"mean","sd","lcl","25%","median","75%","ucl","Rhat","n.eff","overlap0","f","parm"
"Ntot[1]",17.2427056211667,4.44231762793212,9.76330961830025,14.0951786343964,16.8195654563067,19.9612663817021,27.0729372568274,1.00003814152374,40000,0,1,"Ntot[1]"
"Ntot[2]",15.6154,3.64460764954514,9,13,15,18,24,0.999989303881767,40000,0,1,"Ntot[2]"
"Ntot[3]",15.2191,3.50995771841765,9,13,15,17,23,1.00033979241887,13158,0,1,"Ntot[3]"
"Ntot[4]",13.8946,3.2987214006448,8,12,14,16,21,1.00003233622831,40000,0,1,"Ntot[4]"
"Ntot[5]",12.0775,3.11178177731758,7,10,12,14,19,1.00036941924647,8507,0,1,"Ntot[5]"
"Ntot[6]",14.223675,3.2902682475755,9,12,14,16,21,1.00005260039707,25579,0,1,"Ntot[6]"
"Ntot[7]",16.280975,3.59343858572771,10,14,16,18,24,1.00029292142058,10529,0,1,"Ntot[7]"
"Ntot[8]",21.007,4.57349143659393,14,18,20,24,32,1.00027173900494,13850,0,1,"Ntot[8]"
"Ntot[9]",19.554725,4.24688781059459,12,17,19,22,29,1.00014202596621,13065,0,1,"Ntot[9]"
"Ntot[10]",14.707825,3.50307943936674,9,12,14,17,22,1.00001873113597,40000,0,1,"Ntot[10]"
"Ntot[11]",11.0908,2.93467556435404,6,9,11,13,17,1.00002688169759,40000,0,1,"Ntot[11]"
"Ntot[12]",9.64765,2.68262546574894,5,8,9,11,15,1.00010367702958,40000,0,1,"Ntot[12]"
"Ntot[13]",8.652625,2.51599162652057,5,7,8,10,14,1.00002683028519,40000,0,1,"Ntot[13]"
"Ntot[14]",7.25435,2.2514956825009,3,6,7,9,12,1.00013607156763,21048,0,1,"Ntot[14]"
"Ntot[15]",8.406375,2.46837733775491,5,7,8,10,14,1.00010491921211,18853,0,1,"Ntot[15]"
"Ntot[16]",6.528375,2.15797620026427,3,5,6,8,11,1.00000348069521,40000,0,1,"Ntot[16]"
"Ntot[17]",5.629725,1.97850177814101,3,4,5,7,10,1.00010392311599,16543,0,1,"Ntot[17]"
"Ntot[18]",4.8406,1.83802233342048,2,3,5,6,9,1.0000693907103,33238,0,1,"Ntot[18]"
"Ntot[19]",3.791525,1.61611524034852,1,3,4,5,7,1.0001335387612,14250,0,1,"Ntot[19]"
"Ntot[20]",3.733025,1.57208814508074,1,3,4,5,7,1.00024400437935,11335,0,1,"Ntot[20]"
"Ntot[21]",4.447575,1.66877836752098,2,3,4,6,8,1.00027576110953,8780,0,1,"Ntot[21]"
"Ntot[22]",6.49295,2.06184543010975,3,5,6,8,11,1.00013887007433,14954,0,1,"Ntot[22]"
"Ntot[23]",8.683525,2.53459645286078,5,7,8,10,14,1.00034435138925,7364,0,1,"Ntot[23]"
"Ntot[24]",8.3794,2.47140816872859,4,7,8,10,14,1.00026624986631,8379,0,1,"Ntot[24]"
"Ntot[25]",8.997675,2.80870376059765,5,7,9,11,15,0.999987165333905,40000,0,1,"Ntot[25]"
"Ntot[26]",18.6818,4.17539035386096,11,16,19,21,27,1.00010796488957,16972,0,1,"Ntot[26]"
"Ntot[27]",30.367625,5.7844025916432,20,26,30,34,42,1.00034582058757,6847,0,1,"Ntot[27]"
"Ntot[28]",30.083725,16.4047551954975,12,22,28,36,59,1.00961179052574,23163,0,1,"Ntot[28]"
"Ntot[29]",30.311075,37.449736573354,8,19,26,36,72,1.09172653607081,13399,0,1,"Ntot[29]"
"Ntot[30]",30.871425,92.5528346089369,5,16,25,36,83,1.15216760057044,40000,0,1,"Ntot[30]"
"Ntot[31]",31.213825,107.029451958136,4,14,23,35,94,1.08035623913269,30532,0,1,"Ntot[31]"
"mphi[1]",0.316959120110022,0.0223079930713257,0.273682451535896,0.301851116019679,0.316880179016998,0.331898232061191,0.361167347644398,1.00003199404178,38543,0,1,"mphi[1]"
"mphi[2]",0.425147450385889,0.0284631030750029,0.369227896148878,0.405908881023585,0.425277982973498,0.444398339575528,0.480277281089228,1.00020165746081,11831,0,1,"mphi[2]"
"mfec1",3.20726855751795,0.155870468118431,2.90267464285895,3.10195899595398,3.20656936041623,3.31224651401713,3.51388489843377,0.999994838643424,40000,0,1,"mfec1"
"mfec2",1.74999659204625,0.149629904381451,1.45547961567177,1.64934991117977,1.7508756118866,1.85076687328052,2.04029160277281,1.00006975037405,23318,0,1,"mfec2"
"mean.lambda",1.0060615788375,0.0673608096340116,0.948564687371461,0.993307782509139,1.01047127819978,1.02703457496103,1.0633081384025,1.00322117875465,14673,0,1,"mean.lambda"
"prop.males",0.558835168427435,0.0100188996902398,0.539138695580506,0.552019178293947,0.558847264791665,0.56569726140971,0.578288649556134,1.00004641456631,40000,0,1,"prop.males"
"mean.p[1]",0.400781881375774,0.202291439766593,0.067497248412692,0.225925122888293,0.400637163757347,0.575901773065561,0.733405949673033,0.999987171889442,40000,0,1,"mean.p[1]"
"mean.p[2]",0.400846429824453,0.201757033008026,0.0674722467199899,0.226209568179911,0.402340047247708,0.575711413135287,0.733062221317086,1.0000538790957,25801,0,1,"mean.p[2]"
"deviance",116.451590181749,5.37465241357412,107.245153527245,112.649958473364,116.009476383143,119.764044007507,128.288375366209,1.00003984247278,40000,0,1,"deviance"
